GEOID ,NAMELSAD,Shape_Area,Area_Acres,Area_mi2
24510200702,Census Tract 2007.02,3101688.703,71.20468999,0.111257773
24510160600,Census Tract 1606,5988742.765,137.4820663,0.214816588
24510271900,Census Tract 2719,15058093.92,345.6848873,0.540134797
24510151000,Census Tract 1510,15973085.33,366.6901155,0.572955597
24510151100,Census Tract 1511,18284972.06,419.7635198,0.655883123
24510150800,Census Tract 1508,11726649.13,269.2057443,0.420635658
24510250206,Census Tract 2502.06,27636930.52,634.4540858,0.991338474
24510250207,Census Tract 2502.07,13966807.34,320.6324947,0.500990277
24510250301,Census Tract 2503.01,23713328.72,544.3809427,0.850598625
24510250303,Census Tract 2503.03,11144368.52,255.8384743,0.399749215
24510250401,Census Tract 2504.01,13051928.64,299.6298538,0.468173519
24510250402,Census Tract 2504.02,7560440.526,173.5631378,0.271193488
24510272003,Census Tract 2720.03,20824401.79,478.0605714,0.746972631
24510280101,Census Tract 2801.01,15158463.42,347.9890446,0.543735057
24510280102,Census Tract 2801.02,37658110.21,864.5077956,1.350798834
24510280200,Census Tract 2802,25974723.99,596.2952271,0.931715019
24510280302,Census Tract 2803.02,10836208.16,248.7641142,0.388695483
24510030200,Census Tract 302,6435939.032,147.7482389,0.230857547
24510040100,Census Tract 401,12804114.83,293.9408543,0.459284422
24510040200,Census Tract 402,4689568.319,107.6572443,0.168215117
24510060400,Census Tract 604,4629648.199,106.2816731,0.166065778
24510070100,Census Tract 701,3128201.23,71.81333142,0.112208779
24510070200,Census Tract 702,3348962.078,76.88128288,0.120127485
24510070300,Census Tract 703,2461453.165,56.50696326,0.088292483
24510070400,Census Tract 704,3519491.546,80.79608512,0.126244388
24510260101,Census Tract 2601.01,17606349.91,404.1845612,0.631540903
24510260102,Census Tract 2601.02,15623402.34,358.6625309,0.560412446
24510260201,Census Tract 2602.01,17744061.17,407.3459641,0.636480615
24510280401,Census Tract 2804.01,17712530.05,406.6221121,0.635349592
24510280403,Census Tract 2804.03,19711401.67,452.5097067,0.707049245
24510280404,Census Tract 2804.04,9137634.032,209.7703738,0.32776752
24510080101,Census Tract 801.01,25034154.07,574.7027993,0.897976716
24510080102,Census Tract 801.02,3935492.105,90.34610567,0.141166355
24510080200,Census Tract 802,9216368.641,211.5778644,0.330591736
24510080302,Census Tract 803.02,4730877.905,108.6055781,0.169696895
24510080400,Census Tract 804,2701377.244,62.01484018,0.096898575
24510080500,Census Tract 805,3749715.04,86.08126816,0.13450252
24510080600,Census Tract 806,3620943.634,83.12509527,0.129883481
24510090100,Census Tract 901,7080987.528,162.5564556,0.253995478
24510250500,Census Tract 2505,136204054.6,3126.802336,4.885648192
24510250600,Census Tract 2506,164136242.4,3768.034569,5.887577564
